stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021003191048000,Märsta station (Stockholms län),59.628325,17.860476,1,,
9021003191049000,Märsta centrum (Stockholms län),59.621930,17.856594,1,,
9021003191050000,Rimbo kyrka (Rimbo) (Norrtälje),59.748645,18.384333,1,,
9021003191051000,Bobacken (Norrtälje),59.756529,18.393965,1,,
9021003191053000,Hagby (Rimbo) (Norrtälje),59.761499,18.405619,1,,
9021003191054000,Lugnet (Norrtälje),59.764846,18.413464,1,,
9021003191055000,Stora Granlund (Norrtälje),59.772233,18.430797,1,,
9021003191056000,Nydal (Norrtälje),59.783449,18.437130,1,,
9021003191057000,Grindstugan (Norrtälje),59.801889,18.440098,1,,
9021003191058000,Görvälstorp (Norrtälje),59.808856,18.440683,1,,
9021003191059000,Norelund (Stockholms län),59.820496,18.440140,1,,
9021003191060000,Sättraby södra (Norrtälje),59.828017,18.441305,1,,
9021003191061000,Sättraby vägskäl (Norrtälje),59.841434,18.442170,1,,
9021003191062000,Sättra missionshus (Norrtälje),59.850572,18.445517,1,,
9021003191063000,Lohärads vägskäl västra (Norrtälje),59.858917,18.449463,1,,
9021003191064000,Johannesberg (Norrtälje),59.873219,18.471462,1,,
9021003191066000,Brotorp (Norrtälje),59.886190,18.489477,1,,
9021003191067000,Edsbro kyrka (Norrtälje),59.894843,18.491016,1,,
9021003191068000,Edsbro norra (Norrtälje),59.898279,18.502180,1,,
9021003191069000,Valla (Edsbro) (Norrtälje),59.899838,18.517233,1,,
9021003191070000,Vagn (Norrtälje),59.901972,18.536948,1,,
9021003191071000,Kragsta (Norrtälje),59.900709,18.551933,1,,
9021003191072000,Täby (Stockholms län),59.438719,18.083739,1,,
9021003191073000,Danderyds sjukhus (Danderyd),59.390558,18.042321,1,,
9021003191074000,Gränsgatan (Arlanda) (Sigtuna),59.637116,17.926981,1,,
9021003191075000,Skebobruk norra (Norrtälje),59.969013,18.605564,1,,
9021003191076000,Unungehöjden (Norrtälje),59.905038,18.581042,1,,
9021003191077000,Edsbro centrum (Norrtälje),59.896511,18.495065,1,,
9021003191078000,Smara (Norrtälje),59.886302,18.420475,1,,
9021003191079000,Billbyvägen (Sigtuna),59.647471,17.634640,1,,
9021003191080000,Håtuna K:a (Stockholms län),59.623404,17.610378,1,,
9021003191081000,Norränge (Upplands Bro),59.612170,17.605966,1,,
9021003191082000,Lunda (Upplands Bro),59.590156,17.594768,1,,
9021003191083000,Sättervikshage (Stockholms län),59.580312,17.571941,1,,
9021003191085000,Flygskolan (Arlanda) (Sigtuna),59.640689,17.940827,1,,
9021003191086000,Terminal 2 -3 (Arlanda) (Sigtuna),59.644332,17.929369,1,,
9021003191087000,Hallsta pappersbruk (Hallstavik) (Norrtä,60.060399,18.596814,1,,
9021003191088000,SAS-hangaren (Arlanda) (Sigtuna),59.650134,17.947512,1,,
9021003191089000,Ropsten (Norrtälje),59.901951,18.569843,1,,
9021003191090000,Ekensborg (Norrtälje),59.909736,18.586120,1,,
9021003191091000,Bloka (Norrtälje),59.916446,18.590348,1,,
9021003191092000,Ränka (Norrtälje),59.922123,18.583489,1,,
9021003191093000,Ununge by (Norrtälje),59.926322,18.581532,1,,
9021003191094000,Ununge kyrka (Norrtälje),59.928141,18.586837,1,,
9021003191095000,Rosendal (Norrtälje),59.933509,18.596306,1,,
9021003191096000,Hydinge vägskäl (Norrtälje),59.939466,18.600029,1,,
9021003191097000,Lövhyddan (Norrtälje),59.943295,18.601998,1,,
9021003191098000,Kolartorps vägskäl (Norrtälje),59.953311,18.605672,1,,
