from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022003780050001,9022003780050001,1,,33010000187250572,33010000187055658
9022003780050001,9022003780050001,1,,33010000187251070,33010000187056577
9022003780050001,9022003780050001,1,,33010000187251314,33010000187056711
9022003780050001,9022003780050001,1,,33010000187251558,33010000187056845
9022003780050001,9022003780050001,1,,33010000188627052,33010000187056068
9022003780050001,9022003780050001,1,,33010000188626928,33010000188379044
9022003780050001,9022003780050001,1,,33010000188627298,33010000187056202
9022003780050001,9022003780050001,1,,33010000188627360,33010000187056443
9022003780050001,9022003780050001,1,,33010000188626794,33010000188378904
9022003780050001,9022003780050001,1,,33010000188627174,33010000187056135
9022003780050001,9022003780050001,1,,33010000188626406,33010000187055792
9022003780050002,9022003780050001,1,,33010000189518697,33010000187056644
9022003780050002,9022003780050001,1,,33010000189519307,33010000187056135
9022003780373002,9022003780373004,1,,33010000189519795,33010000188590510
9022003780050002,9022003780050001,1,,33010000189520490,33010000187055658
9022003780373002,9022003780373004,1,,33010000189520490,33010000188590696
9022003780050002,9022003780050001,1,,33010000189518453,33010000188378904
9022003780050002,9022003780050001,1,,33010000189519185,33010000188379044
9022003780373002,9022003780373004,1,,33010000189519185,33010000188590324
9022003780373002,9022003780373004,1,,33010000189519673,33010000188590572
9022003780373002,9022003780373004,1,,33010000189519917,33010000188590387
9022003780050002,9022003780050001,1,,33010000189520612,33010000187055725
9022003780373002,9022003780373004,1,,33010000189521609,33010000188591049
9022003780050002,9022003780050001,1,,33010000189518819,33010000187056711
9022003780050002,9022003780050001,1,,33010000189521731,33010000187056068
9022003780050002,9022003780050001,1,,33010000189518575,33010000187056577
9022003780050002,9022003780050001,1,,33010000189518941,33010000187056778
9022003780050002,9022003780050001,1,,33010000189519063,33010000187056845
9022003780050002,9022003780050001,1,,33010000189519429,33010000187056202
9022003780373002,9022003780373004,1,,33010000189519429,33010000188590763
9022003780050002,9022003780050001,1,,33010000189519490,33010000187056443
9022003780050002,9022003780050001,1,,33010000189519551,33010000188378972
9022003780373002,9022003780373004,1,,33010000189519551,33010000188590622
9022003780050002,9022003780050001,1,,33010000189520368,33010000188379243
9022003780373002,9022003780373004,1,,33010000189521229,33010000188590542
9022003780373002,9022003780373004,1,,33010000189521359,33010000188590449
9022003700302001,9022003700302002,1,,33010000181495663,33010000177137670
9022003700302001,9022003700302002,1,,33010000181495605,33010000177137670
9022003700302001,9022003700302002,1,,33010000188624061,33010000180945368
9022003700302001,9022003700302002,1,,33010000188623739,33010000177137809
9022003700302001,9022003700302002,1,,33010000188623932,33010000177137741
